dataset_name,split_id,model_name,partition,metric_name,metric_value,donor_id,site,class_label
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.8658630139723216,C-8942,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.8658630139723216,C-8942,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.9078399203829712,C-8946,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.9078399203829712,C-8946,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.880255083702132,CV0902,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.880255083702132,CV0902,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.8231754565252546,CV0917,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.8231754565252546,CV0917,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.8301545434559646,CV0926,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.8301545434559646,CV0926,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.8891381291332205,CV0934,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.8891381291332205,CV0934,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.9064694684586158,CV0939,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.9064694684586158,CV0939,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.8699423731852111,CV0944,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.8699423731852111,CV0944,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,1.0,,,CD14-positive monocyte
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.9281927710843374,,,"CD16-negative, CD56-bright natural killer cell, human"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.9849155599278571,,,"CD16-positive, CD56-dim natural killer cell, human"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.7716413279553211,,,"central memory CD4-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.9331646637149483,,,"effector CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.8482403048643802,,,"effector memory CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.8765686458138228,,,gamma-delta T cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.8497902097902098,,,mucosal invariant T cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,1.0,,,naive B cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.9064422143088378,,,"naive thymus-derived CD4-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.9030186255619782,,,"naive thymus-derived CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,class_f1,0.9563719862227325,,,platelet
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,macro_f1,0.8751908340215925,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,weighted_f1,0.8941060254390788,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,balanced_accuracy,0.87287164570956,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,overall_accuracy,0.8959511006939657,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,macro_precision,0.8837164014439037,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,macro_recall,0.87287164570956,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,site_observed_macro_f1,0.8771824144975592,,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,site_global_macro_f1,0.8771824144975592,,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,site_observed_macro_f1,0.8128044500616686,,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,site_global_macro_f1,0.8128044500616686,,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_observed_macro_f1,0.8934986459775022,C-8928,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_global_macro_f1,0.8934986459775022,C-8928,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_observed_macro_f1,0.8654369038422457,C-8936,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_global_macro_f1,0.8654369038422457,C-8936,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_observed_macro_f1,0.8448614018129273,C-8943,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_global_macro_f1,0.8448614018129273,C-8943,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_observed_macro_f1,0.8188570129076167,CV0911,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_global_macro_f1,0.8188570129076167,CV0911,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_observed_macro_f1,0.7643704616582246,CV0915,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_global_macro_f1,0.7643704616582246,CV0915,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_observed_macro_f1,0.8076583321430032,CV0929,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,donor_global_macro_f1,0.8076583321430032,CV0929,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,1.0,,,CD14-positive monocyte
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.8795518207282913,,,"CD16-negative, CD56-bright natural killer cell, human"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.9684957846472415,,,"CD16-positive, CD56-dim natural killer cell, human"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.6787762906309751,,,"central memory CD4-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.88065150238697,,,"effector CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.8551188299817185,,,"effector memory CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.7811921510551647,,,gamma-delta T cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.7713841368584758,,,mucosal invariant T cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.9997443109179238,,,naive B cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.8670662905500706,,,"naive thymus-derived CD4-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.9028776978417267,,,"naive thymus-derived CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,val,class_f1,0.9174311926605505,,,platelet
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,macro_f1,0.8810069766113391,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,weighted_f1,0.8942123637611267,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,balanced_accuracy,0.890344820970549,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,overall_accuracy,0.894586124918954,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,macro_precision,0.874633236342031,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,macro_recall,0.890344820970549,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,site_observed_macro_f1,0.8799273731510592,,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,site_global_macro_f1,0.8799273731510592,,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,site_observed_macro_f1,0.8348899654857559,,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,site_global_macro_f1,0.8348899654857559,,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_observed_macro_f1,0.8712190917185638,C-8938,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_global_macro_f1,0.8712190917185638,C-8938,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_observed_macro_f1,0.9836661369446557,C-8939,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_global_macro_f1,0.4098608903936065,C-8939,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_observed_macro_f1,0.8675201795389921,C-8940,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_global_macro_f1,0.8675201795389921,C-8940,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_observed_macro_f1,0.8605149920240556,CV0904,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_global_macro_f1,0.8605149920240556,CV0904,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_observed_macro_f1,0.7979342633100218,CV0940,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,donor_global_macro_f1,0.7979342633100218,CV0940,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.9997778271495223,,,CD14-positive monocyte
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.9105691056910569,,,"CD16-negative, CD56-bright natural killer cell, human"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.9784172661870504,,,"CD16-positive, CD56-dim natural killer cell, human"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.7918240391024217,,,"central memory CD4-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.9080939947780678,,,"effector CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.7625272331154684,,,"effector memory CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.7193723596861799,,,gamma-delta T cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.8273878020713463,,,mucosal invariant T cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.9992673992673993,,,naive B cell
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.8795548375516066,,,"naive thymus-derived CD4-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.8999181892555222,,,"naive thymus-derived CD8-positive, alpha-beta T cell"
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,test,class_f1,0.8953736654804271,,,platelet
