run_id,model_name,graph_name,seed,partition,n_samples,accuracy,ece,brier_score,mean_max_confidence,mean_entropy_nats,mean_margin,fraction_low_margin
graphsage_bbknn_kperbatch2_donors12_seed7,graphsage,bbknn_kperbatch2_donors12,7,test,18508,0.9086881348606008,0.020640120939183552,0.13976384788627172,0.8880480139214173,0.35617651865221206,0.8152093966084368,0.02723146747352496
graphsage_bbknn_kperbatch2_donors12_seed73,graphsage,bbknn_kperbatch2_donors12,73,test,18508,0.9131186513939918,0.012471203330959774,0.1316211854319397,0.9059197403915646,0.2926596942889088,0.8402625348941639,0.02366544197103955
graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed101,graphsage,mutual_knn_reference_standard_query_k20_unweighted,101,test,18508,0.9094445645126432,0.007139909214609686,0.13541553657296132,0.9124938230297337,0.26893000214545876,0.8508123973126822,0.021342122325480873
graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed17,graphsage,mutual_knn_reference_standard_query_k20_unweighted,17,test,18508,0.9125243138102442,0.009709755998561262,0.13299570246158263,0.915307722144394,0.2573760273134596,0.8538546878868495,0.021828398530365247
graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed42,graphsage,mutual_knn_reference_standard_query_k20_unweighted,42,test,18508,0.9076075210719688,0.005991532747286085,0.13785072822405192,0.9086469277016527,0.28333298037776133,0.8447289761113681,0.022854981629565594
graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed7,graphsage,mutual_knn_reference_standard_query_k20_unweighted,7,test,18508,0.912416252431381,0.009804495499391441,0.13354225135204972,0.9134529673645158,0.26207533032289343,0.8509282906388175,0.022638858871839206
graphsage_mutual_knn_reference_standard_query_k20_unweighted_seed73,graphsage,mutual_knn_reference_standard_query_k20_unweighted,73,test,18508,0.9111735465744543,0.008705457139084733,0.1342987076114261,0.9128237946990734,0.266975105927261,0.8507335719587988,0.0227469202507024
graphsage_pca_knn_k20_unweighted_seed101,graphsage,pca_knn_k20_unweighted,101,test,18508,0.9079317052085585,0.004152589627552251,0.1361548699060515,0.9103615620900739,0.2850496246050949,0.8486385192662929,0.022422736114112815
graphsage_pca_knn_k20_unweighted_seed17,graphsage,pca_knn_k20_unweighted,17,test,18508,0.9116598227793387,0.006984413545300917,0.13178984111420736,0.9171866122951241,0.25824670169227676,0.8572887971614416,0.02042360060514372
graphsage_pca_knn_k20_unweighted_seed42,graphsage,pca_knn_k20_unweighted,42,test,18508,0.9076075210719688,0.004258667273631689,0.1381675576814841,0.90654429962111,0.30053683136866555,0.8429831544038332,0.021288091636049274
graphsage_pca_knn_k20_unweighted_seed7,graphsage,pca_knn_k20_unweighted,7,test,18508,0.9069051221093581,0.003053171080719258,0.1384192440257142,0.9042944210433138,0.3061500720291397,0.8394184263974559,0.023179165766155176
graphsage_pca_knn_k20_unweighted_seed73,graphsage,pca_knn_k20_unweighted,73,test,18508,0.9086881348606008,0.0032178495406962934,0.13639291168503861,0.9087069038980422,0.29119626470790105,0.8460291277252665,0.022476766803544414
graphsage_pca_knn_k24_unweighted_seed101,graphsage,pca_knn_k24_unweighted,101,test,18508,0.9122541603630863,0.007185429923988355,0.13175855315413232,0.9169102439856927,0.2592500040743226,0.8572438421656773,0.020963907499459693
graphsage_pca_knn_k24_unweighted_seed17,graphsage,pca_knn_k24_unweighted,17,test,18508,0.9113356386427491,0.008402396314714032,0.13216526695742273,0.9160842343791272,0.2630738884238571,0.8559420991019386,0.01945104819537497
graphsage_pca_knn_k24_unweighted_seed42,graphsage,pca_knn_k24_unweighted,42,test,18508,0.9128484979468338,0.008582383294406488,0.13145995142112454,0.9181616081579834,0.2550710853817932,0.858590920404094,0.02009941646855414
graphsage_pca_knn_k24_unweighted_seed7,graphsage,pca_knn_k24_unweighted,7,test,18508,0.9076075210719688,0.003931328562505542,0.13782967411081234,0.9044433159490809,0.30582826447658285,0.8396287128891338,0.023449319213313162
graphsage_pca_knn_k24_unweighted_seed73,graphsage,pca_knn_k24_unweighted,73,test,18508,0.9106332396801383,0.00626959707261883,0.13277916708568838,0.9142295208616495,0.2700999699980587,0.8534663762814477,0.02009941646855414
graphsage_pca_knn_k50_unweighted_seed101,graphsage,pca_knn_k50_unweighted,101,test,18508,0.9102009941646856,0.005825383643822415,0.13382454157781876,0.9129229139714551,0.2749158787098268,0.8519754367305493,0.02253079749297601
graphsage_pca_knn_k50_unweighted_seed17,graphsage,pca_knn_k50_unweighted,17,test,18508,0.9102550248541171,0.006324026520280052,0.1327368772346907,0.9150157979533949,0.266547340791761,0.8544430055760216,0.021071968878322887
graphsage_pca_knn_k50_unweighted_seed42,graphsage,pca_knn_k50_unweighted,42,test,18508,0.9108493624378647,0.007907307535081443,0.13282658836741293,0.9159316737546966,0.2636462230528955,0.8555710235612376,0.02101793818889129
graphsage_pca_knn_k50_unweighted_seed7,graphsage,pca_knn_k50_unweighted,7,test,18508,0.9129025286362654,0.006750988100720002,0.13083252335387427,0.9164598958443199,0.25752086037574073,0.8554962946941435,0.020693754052301706
graphsage_pca_knn_k50_unweighted_seed73,graphsage,pca_knn_k50_unweighted,73,test,18508,0.9117678841582019,0.007252392404365924,0.13182380200615304,0.9148941730912545,0.267205564210096,0.8543655357219233,0.02042360060514372
logistic_regression_site_stratified_seed42,logistic_regression,none,42,test,18508,0.894586124918954,0.024866013003298604,0.16234141574585131,0.8875127748316723,0.3169696321640421,0.8087966535987416,0.03122973849146315
mlp_site_stratified_seed42_seed42,mlp,none,42,test,18508,0.9111735465744543,0.019496488065873625,0.13237959984852896,0.9301310708568785,0.19624380496065544,0.8735968244990694,0.01880267992219581
mlp_site_stratified_seed42_seed101,mlp,none,101,test,18508,0.912416252431381,0.007583180438829386,0.1298122219350524,0.9171993749963753,0.23912008400721274,0.8540471514436299,0.021882429219796846
mlp_site_stratified_seed42_seed17,mlp,none,17,test,18508,0.9149556948346661,0.014727943972387556,0.1277655432495078,0.9290035467635923,0.19935196174617695,0.8717500941659496,0.018640587853901016
mlp_site_stratified_seed42_seed42,mlp,none,42,test,18508,0.9111735465744543,0.019496488065873625,0.13237959984852896,0.9301310708568785,0.19624380496065544,0.8735968244990694,0.01880267992219581
mlp_site_stratified_seed42_seed7,mlp,none,7,test,18508,0.9113896693321807,0.015145782250061586,0.13249678535809914,0.9251219683959001,0.2108884728560778,0.8656038517551375,0.020693754052301706
mlp_site_stratified_seed42_seed73,mlp,none,73,test,18508,0.9147395720769397,0.013198527988744472,0.12644725034027374,0.9267001264175689,0.20867106793016849,0.8688820788364456,0.020153447157985737
